,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
124,اس اس دی اینترنال اپیسر مدل AS340X ظرفیت 480 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1979000.0,7,3
125,اس اس دی اینترنال اپیسر مدل AS340X ظرفیت 960 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,3189000.0,5,0
126,اس اس دی اینترنال اپیسر مدل AS350 PANTHER ظرفیت 1 ترابایت-مشکی,هارد اینترنال,اپیسر,مشکی,2900000.0,0,9
127,اس اس دی اینترنال اپیسر مدل AS350 PANTHER ظرفیت 128 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,950000.0,0,8
128,اس اس دی اینترنال اپیسر مدل AS350 PANTHER ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,700000.0,0,5
129,اس اس دی اینترنال اپیسر مدل AS350 PANTHER ظرفیت 512 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,2200000.0,0,5
130,اس اس دی اینترنال اپیسر مدل AS350X ظرفیت 1 ترابایت-مشکی,هارد اینترنال,اپیسر,مشکی,3266000.0,3,2
131,اس اس دی اینترنال اپیسر مدل AS350X ظرفیت 128 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,846000.0,4,2
132,اس اس دی اینترنال اپیسر مدل AS350X ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,اپیسر,مشکی,1396000.0,8,4
133,اس اس دی اینترنال ای دیتا مدل LEGEND 710 ظرفیت 256 گیگابایت-آبی,هارد اینترنال,ای دیتا,آبی,1610000.0,19,0
134,اس اس دی اینترنال ای دیتا مدل LEGEND 710 ظرفیت 512 گیگابایت-آبی,هارد اینترنال,ای دیتا,آبی,2901000.0,7,10
135,اس اس دی اینترنال ای دیتا مدل SU750 ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,1150000.0,0,0
136,اس اس دی اینترنال ای دیتا مدل SU750 ظرفیت 512 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,1946000.0,0,0
137,اس اس دی اینترنال ای دیتا مدل SU800 ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,2341000.0,3,0
138,اس اس دی اینترنال ای دیتا مدل Ultimate SU630 ظرفیت 240 گیگابایت -مشکی,هارد اینترنال,ای دیتا,مشکی,1550000.0,52,9
139,اس اس دی اینترنال ای دیتا مدل Ultimate SU630 ظرفیت 480 گیگابایت-مشکی,هارد اینترنال,ای دیتا,مشکی,2293000.0,25,6
140,اس اس دی اینترنال سامسونگ مدل 970 EVO PLUS ظرفیت 500 گیگابایت-مشکی,هارد اینترنال,سامسونگ,مشکی,4000000.0,0,1
141,اس اس دی اینترنال سامسونگ مدل EVO 870 ظرفیت 1 ترابایت-مشکی,هارد اینترنال,سامسونگ,مشکی,3270000.0,0,0
142,اس اس دی اینترنال سامسونگ مدل EVO 870 ظرفیت 250 گیگابایت-مشکی,هارد اینترنال,سامسونگ,مشکی,2150000.0,0,0
143,اس اس دی اینترنال سامسونگ مدل EVO 870 ظرفیت 500 گیگابایت-مشکی,هارد اینترنال,سامسونگ,مشکی,2400000.0,0,0
144,اس اس دی اینترنال سیلیکون پاور مدل Ace A55 ظرفیت 128 گیگابایت-مشکی,هارد اینترنال,سیلیکون پاور,مشکی,912000.0,2,5
145,اس اس دی اینترنال سیلیکون پاور مدل Slim S55 ظرفیت 120 گیگابایت-مشکی,هارد اینترنال,سیلیکون پاور,مشکی,800000.0,0,10
146,اس اس دی اینترنال لکسار مدل NS100 ظرفیت 1 ترابایت-مشکی,هارد اینترنال,لکسار,مشکی,3530000.0,0,0
147,اس اس دی اینترنال لکسار مدل NS100 ظرفیت 128 گیگابایت-مشکی,هارد اینترنال,لکسار,مشکی,537000.0,0,0
148,اس اس دی اینترنال لکسار مدل NS100 ظرفیت 256 گیگابایت-مشکی,هارد اینترنال,لکسار,مشکی,869000.0,0,0
149,اس اس دی اینترنال لکسار مدل NS100 ظرفیت 512 گیگابایت-مشکی,هارد اینترنال,لکسار,مشکی,1389000.0,0,0
150,اس اس دی اینترنال وسترن دیجیتال مدل Blue SN570 ظرفیت 500 گیگابایت-آبی,هارد اینترنال,وسترن,آبی,2550000.0,0,3
151,اس اس دی اینترنال کروشیال مدل BX500 ظرفیت 480 گیگابایت-نامشخص,هارد اینترنال,کروشیال,نامشخص,1320000.0,0,0
152,اس اس دی اینترنال کلو مدل CRAS C710 M.2 2280 NVMe ظرفیت 1 ترابایت-مشکی,هارد اینترنال,کلو,مشکی,3169000.0,0,2
153,اسپرسو ساز دلونگی مدل ETAM 29.660-بنفش,قهوه  و چای ساز,دلونگی,بنفش,37952200.0,0,0
154,اسپرسو ساز مباشی مدل ME-ECM2019-مشکی,قهوه  و چای ساز,ناشناخته,مشکی,2800000.0,0,0
155,اسپرسو ساز مباشی مدل ME-ECM2500-قرمز,قهوه  و چای ساز,ناشناخته,قرمز,4560000.0,0,0
156,اسپرسو ساز میگل مدل GEM 100-مشکی,قهوه  و چای ساز,میگل,مشکی,5080000.0,2,0
157,اسپرسو ساز ناسا الکتریک مدل NS-529-بنفش,قهوه  و چای ساز,ناشناخته,بنفش,2400000.0,0,0
158,اسپرسوساز بوش مدل BOSCH Vero Barista 400-مشکی,آب مرکبات گیری,بوش,مشکی,3700000.0,0,0
